category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,source
ABS C,C-1,0,Cylinder,5.44,5.293333333333333,0.0,1175.7719647634667,4.62,1.3010764773832468,2,123.0316714408338,136.9499824713682,1.0275136938865457,0.8983628245715984,original
ABS C,C-10,0,Cylinder,3.3433333333333333,3.16,0.0,1193.9853891589855,2.8825000000000003,0.6323698812140462,4,27.7419075804191,50.74888630036156,1.0576821680902668,0.5466397976978612,original
ABS C,C-11,0,Cylinder,5.489999999999999,3.27,0.0,1100.001055228801,3.61,0.0,1,77.40737193369245,103.74277216427087,1.6783858147355548,0.7461399399582597,original
ABS C,C-12,0,Cylinder,3.3866666666666667,3.293333333333333,0.0,1093.4213870778954,3.06,0.5028584956691758,4,29.666784553974978,53.05577523918507,1.028027926742892,0.5591516713979364,original
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,2.96,0.0,1,77.73840582765787,104.00710227948544,1.6742862948288124,0.7474264420166331,original
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,3.8,0.0,1,74.41656720445049,100.90532058613366,1.6583017515108065,0.7374817233666595,original
ABS C,C-15,0,Cylinder,5.426666666666667,3.313333333333334,0.0,1123.476821663564,3.235,0.2973774257292125,4,76.63396613120723,102.74488016444316,1.6373327969425724,0.745859259841424,original
ABS C,C-16,0,Cylinder,5.460000000000001,3.266666666666666,0.0,1119.9705245307755,3.9033333333333338,1.1412741417672911,6,76.48565456726861,102.8613983453063,1.670917066204224,0.7435725376585944,original
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,3.856666666666667,0.3955165398985651,3,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989733887371464,original
ABS C,C-2,0,Cylinder,5.489999999999999,5.286666666666666,0.0,1118.5102892141804,4.613333333333333,0.3008875759039133,3,125.14586328933356,138.52491522849027,1.0382651453066885,0.9034111998676412,original
ABS C,C-3,0,Cylinder,5.446666666666666,5.233333333333334,0.0,1140.522851236535,4.516,0.3385705244110894,5,121.93541873483838,136.14817821300198,1.040565497038782,0.8956015771470428,original
ABS C,C-4,0,Cylinder,5.396666666666666,5.239999999999999,0.0,1165.029569507883,3.66,0.1555634918610404,2,119.8594709481517,134.58752224916114,1.0297017108694269,0.8905623521614879,original
ABS C,C-5,0,Cylinder,5.406666666666666,5.276666666666666,0.0,1146.3828340883151,4.425,0.7284000732198391,4,121.14590310702488,135.54464335766232,1.024442619844628,0.8937646397631456,original
ABS C,C-6,0,Cylinder,5.539999999999999,5.37,0.0,1122.6643940626736,4.098000000000001,0.5895506763629397,5,129.44452807918535,141.67200566922386,1.0314652764848258,0.9136851968921348,original
ABS C,C-7,0,Cylinder,5.443333333333334,5.36,0.0,1164.0331017352394,3.4799999999999995,0.0,1,124.73390851359645,138.20244819589186,1.0153578312503886,0.9025383240568392,original
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,4.45,0.4649014232429637,4,117.58860644866522,132.87015317178378,0.992318741022919,0.8849822075122628,original
ABS C,C-9,0,Cylinder,5.333333333333333,3.266666666666667,0.0,1182.952505698218,3.256,0.3214498405661447,5,72.97803379005624,99.413954193597,1.6321534224217074,0.7340750129798532,original
ABS CUBE,CUBE-1,2,Cube,5.2,5.113333333333333,5.13,1035.8988434882212,3.778,0.571987762106848,5,136.40328,158.99346666666668,1.016750309587434,0.8579121202121498,original
